"long","lat","order","hole","piece","group","id","country"
-80.51934335,39.72140406,17,FALSE,"1","p116.1","p116","USA"
-79.76377435,39.72077706,18,FALSE,"1","p116.1","p116","USA"
-79.43456085,39.72132806,19,FALSE,"1","p116.1","p116","USA"
-79.47350735,39.20228707,20,FALSE,"1","p116.1","p116","USA"
-78.65765635,39.53517307,21,FALSE,"1","p116.1","p116","USA"
-78.13978278,39.70905936,22,FALSE,"1","p116.1","p116","USA"
-77.71903035,39.32112607,23,FALSE,"1","p116.1","p116","USA"
-77.82815735,39.13232907,24,FALSE,"1","p116.1","p116","USA"
-78.22876735,39.39123307,25,FALSE,"1","p116.1","p116","USA"
-78.54409035,39.05665307,26,FALSE,"1","p116.1","p116","USA"
-79.05725334,38.76141407,27,FALSE,"1","p116.1","p116","USA"
-81.06881633,37.62321806,1,FALSE,"1","p117.1","p117","USA"
-80.85955733,37.42956906,2,FALSE,"1","p117.1","p117","USA"
-81.67821033,37.20148306,3,FALSE,"1","p117.1","p117","USA"
-81.94808483,37.52495806,4,FALSE,"1","p117.1","p117","USA"
-82.55704283,37.90585305,5,FALSE,"1","p117.1","p117","USA"
-82.60811234,38.46105255,6,FALSE,"1","p117.1","p117","USA"
-82.03596334,39.02547805,7,FALSE,"1","p117.1","p117","USA"
-81.90864534,38.87846106,8,FALSE,"1","p117.1","p117","USA"
-81.63260734,38.55447006,9,FALSE,"1","p117.1","p117","USA"
-81.19411334,38.52763406,10,FALSE,"1","p117.1","p117","USA"
-81.23179234,38.26336206,11,FALSE,"1","p117.1","p117","USA"
-80.76976133,37.98537406,12,FALSE,"1","p117.1","p117","USA"
-81.06881633,37.62321806,13,FALSE,"1","p117.1","p117","USA"
-79.59406033,37.04223907,1,FALSE,"1","p118.1","p118","USA"
